description,cat_sub,category,subcategory
queijo coalho cabra cambi kg natural,67_111,67,111
molho tom.pomarola mais 340g lt salsa/cebolinha,179_1665,179,1665
iog yoguedes sc morango 900g,135_0,135,0
"sorvete dulce dias 1l, brigadeiro",8_8,8,8
gel fix karina cachos 150g,206_389,206,389
"sorvete kidelicia docura premium 1,5l",8_8,8,8
suco integ alianca uva tinto gf 1l,15_463,15,463
iog betania natural 170g mel,135_141,135,141
desodorante para autos politriz 70ml,212_422,212,422
bolo crocante chama branco kg,185_445,185,445
presunto kg kidelli pca int,318_42,318,42
pascoa ovo top cau mickey 80g,27_29,27,29
tempero br spices chimichurri 180g,214_1134,214,1134
prot sol corpo sundown praia/piscina fps70 200ml,174_1345,174,1345
"estojo pp c elastico vmp, justiceleague",54_658,54,658
bala mastig docile mini eucal 500g-dy c25,57_185,57,185
cereais barra kelloggs sucrilho 20g chocolate,110_12,110,12
couve brocoli verde vida org un,41_516,41,516
cerveja wals session gfa 600ml,14_424,14,424
vodka kislla 900ml-vd morango,237_550,237,550
agua de coco greenpeople 290ml,101_141,101,141
absorvedor odores geladeira 30g,114_128,114,128
choc jubileu plus noir flor de sal 100g,57_365,57,365
geleia menz gasser prima amarena vd 340g,103_145,103,145
espuma barb bozzano protect refresc maxima 190g,192_348,192,348
sandalia havaianas baby disney classics marfim 17/18,73_22,73,22
bisc minnas samanta colonial 90g acucara,5_929,5,929
vinho cortese d monferrat 750ml bco m sc,6_300,6,300
amac roupa conc girando sol azul 500ml,71_548,71,548
cookies superbom 120g integral coco/quin/linha,5_808,5,808
sabao pedra ype glic aloe vera 5x200g,258_1019,258,1019
fitas&faixas rabico c/6 660125,3_1711,3,1711
mop alklin seca mais,121_700,121,700
desinf pinho sol eucalipto lv500ml pg450ml,157_924,157,924
sh ogx lemon highlights 385ml,37_1318,37,1318
arroz camil momiji ben grao curto 5kg,224_913,224,913
biscoito de queijo kg panebras pop,5_133,5,133
desinf uselimp floral 5l,157_253,157,253
cebola nacional bolinha kg .,124_759,124,759
filtro ar cond wega akx35345,184_436,184,436
"caderno ecolo univ 10x1 200fls, ecolove",54_62,54,62
ovos pascoa nsw pint mao cx/12 sch16116,27_29,27,29
condic inf lorys kids yellow shake 500ml,152_0,152,0
pizza san frediano cong 370g vegetariana,200_1616,200,1616
sand havaianas power 1pr az naval 35/36,21_22,21,22
geleia mocoto vitalidade natural 400g,160_0,160,0
requeijao light danubio cremoso zero 250g,25_1002,25,1002
antena tv intelbras int dig ai2031,150_1304,150,1304
copo shake 500ml asa do brasil lagartixo,56_104,56,104
"molho arrifana 150ml, alho",175_0,175,0
casa suica pascoattone zero 400g gotas ch,247_1434,247,1434
des aero nivea stress pro 150ml,7_150,7,150
oregano ki sabor premium 15g,9_814,9,814
lixa santa unha 3un,170_992,170,992
bucha vegetal natus ped,64_79,64,79
rodo plast bettani push med,217_809,217,809
rapadura h&m c/amendoim 500g,102_531,102,531
abobrinha caipira organica kg,124_1503,124,1503
molho tom predilecta ref stand up 340g,179_394,179,394
arroz int sao luiz kg,224_463,224,463
hibisco c/colageno kg,133_1863,133,1863
pascoa ovo garoto barbie c relogio 300g,27_29,27,29
refresco em po 300g apti manga,189_332,189,332
tint tonalz salon-l light prof 45g 4.0 cast medio,10_817,10,817
bisc twix wafer cob choc orig 20g,5_24,5,24
queijo m padrao quata kg peq,67_85,67,85
lombo suino temp.resf. pamplonakg,112_612,112,612
planta crisantemo bola belga,133_1795,133,1795
iogurte frimesa camada morango pt 165g,135_0,135,0
pimenta do reino c/moedor 50g smart,9_1088,9,1088
reparador de pontas fixed pontas 30m,246_1282,246,1282
pinca ricca reta c/2,176_1708,176,1708
arroz parbo tio joao c 10x100g,224_620,224,620
sh ecologie equil tangerina/calendula 275ml,37_101,37,101
agua mineral platina s/gas pet 510ml,2_2,2,2
corante po kirey amarelo c/1,220_460,220,460
meio da asa 1kg copacol congelada,93_1109,93,1109
forma gelo imp silic vm 20x11 gt2312,213_896,213,896
esm colorama unica camada conhaque 8ml,151_239,151,239
massa nhoque batata magic 1kg,4_1325,4,1325
sanduicheira hamilton beach vm 600w 220v,194_356,194,356
shamp skala 350ml extra liso,37_742,37,742
tomate gourmet mallmann bj 600g,124_488,124,488
"iog grego danio danone 125g, morango",135_579,135,579
colageno hidrolisado performance 100cap,190_439,190,439
filtro ar wega jfa587,184_318,184,318
evita mofo inspira sonho infancia 100g,114_351,114,351
bisc piraque piralokos cob choc 120g,5_65,5,65
cola araldite 4gr 23 /10min .,54_556,54,556
sorvete gellak 2l-pt carioca,8_8,8,8
cafe bom dia 500g pouch tradicional,20_21,20,21
t.beauty color kit cr. 9.1 lou.acinz.,10_10,10,10
batom elke n135 vermelho fps 15,176_906,176,906
coco ralado coco do vale 50g umido,302_956,302,956
copo cisper liverpool 300ml 405/30 .,47_104,47,104
cola nedo polyt p/pvc 17gr 76 .,54_556,54,556
chicle ping-pong carros hortela 240g-dy c/60,57_654,57,654
empanado frango lar file a milanesa 700g,201_368,201,368
costela suina temp.corella c/osso kg,112_404,112,404
queijo vigor camembert kg .,67_849,67,849
fervedor tramontina alum preto 14cm,13_1181,13,1181
pascoa choc hersheys pacoca 30g,27_29,27,29
choc lacta tab 135g laka,57_365,57,365
mochila sestini magic crink rs 075487-08,54_660,54,660
vinho nacional qta bacelos 750ml bordo,6_54,6,54
lava louca gel limpol ylang ylang 511g,45_120,45,120
cha 40g london verde/cere,48_635,48,635
agua sanitaria marilux 5l,282_614,282,614
queijo serra das antas raclete kg,67_236,67,236
sab intimo dermacyd 24h lv250pg200ml,209_411,209,411
ovo branco friolar c/30,30_610,30,610
vinho nacional fausto cab sauvignon 375ml,6_54,6,54
cr dent gel colgate luminous white advanced 70g,207_894,207,894
"alcool zupp 46,5 inpm 1l",251_583,251,583
vinho chileno emiliana tto cabern sauvignon 750ml,6_100,6,100
concentrado liq del valle maracuja 500ml,12_12,12,12
ref tri cola pet 2l,16_556,16,556
vela sao domingos vot sra desat nos,88_102,88,102
"furikake mini pack 30 sac c/2,5g",131_855,131,855
cabide primafer pendura leve6 pague5 rosa,125_470,125,470
caderno winner. cd univ 96fls 1 mat music,54_62,54,62
iog polpa apreciare zero lac tradicional 100g,135_201,135,201
sand ad havaianas logo metallic 37/38 pre/pre,21_22,21,22
ampola trat salon-l t-dcacho letrinhas nutr 200ml,246_1057,246,1057
farinha grao bico leve crock s/glut 200g,26_523,26,523
alim gato scotty cat ad premium pct 1kg,24_26,24,26
coxa/sobr fgo desos cong kg granel,93_298,93,298
presunto pif paf coz kg peca,318_42,318,42
pascoa ovo nestle crunch amend 220g,27_29,27,29
faca tramontina carne prem des 24474/186,13_13,13,13
saco alvejado mc estamparia,121_783,121,783
vinho cave do duque 750ml bco sco (portu,6_300,6,300
pacottini mezzani ricota ervas pct 400g,4_264,4,264
escorredor pratos brinox,13_440,13,440
mini shakeira plasutil minnie 320ml,56_1171,56,1171
cj porta guardanapos imp pr jm-511f,56_1058,56,1058
queijo pomerode gorgonzola sachet 250g,67_1208,67,1208
sanduicheira plasutil duplex minnie,56_356,56,356
molho alho rox alimempro 150ml,175_0,175,0
desinf vorel eucalipto 2l,157_253,157,253
"bisc sol salt 150g, integral",5_133,5,133
bisc isabela leite pct 400g,5_927,5,927
sushi uramaki 100g salmao/camarao,131_331,131,331
forro romana p/forminha 9cm c/100 azul,32_1588,32,1588
suco green people bas laranja 250ml,15_12,15,12
vinho argentino inacayal caber sauv 750ml,6_134,6,134
cobertura 5kg harald branco,28_435,28,435
pao doce c/ creme kg .,69_784,69,784
"suco pto maguary life 0,0%acuc maca 1l",15_1582,15,1582
bala refrescante 92g,57_1450,57,1450
bisc cook trad lacta ao leite 80g,5_461,5,461
touca banho marilu c/2,64_1722,64,1722
pres.frango fat.cofril kg,318_1011,318,1011
"iog liq minions vigor 900g, vit",135_583,135,583
beb soja shefa 1l maracuja,181_919,181,919
goiaba cortes especiais kg,163_423,163,423
sandalia havaianas stylish am/neon 39x40,21_22,21,22
temp alheiro 500g-pt alho/sal,214_432,214,432
forno micr midea 25l bc grill 127 mtag31,315_75,315,75
toalha banho royal denis branco,46_55,46,55
vela regina rosa n.04,32_102,32,102
cafe guidalli souvenir pct 250g,20_1455,20,1455
oleo farmax 100ml,246_891,246,891
desinf sanol herbal 2l,157_253,157,253
doce de leite c/mamao 700g 20un nsg,172_291,172,291
vinho espumante garibaldi moscatel rose 750ml,35_37,35,37
comp lacteo molico fibras lt 260g,117_1447,117,1447
molho tom tarantella 340g-sache ervas finas,179_1861,179,1861
condimento cia das ervas dill-aneto 7g,131_855,131,855
azeitona preta vale fertil fat vd 160g,162_993,162,993
lixeira nitron retratil 4l,59_69,59,69
torta chocolate med kg,205_387,205,387
espatula raspadora brinox,13_575,13,575
molho de tomate 340g mama ge caseiro,179_0,179,0
cerveja tupiniquim premium lager 350ml,14_14,14,14
tapioca supply life batata doce 400g,26_892,26,892
bisc torti moca 140g,5_1213,5,1213
amendoim ovinho falex 200g,11_328,11,328
queijo darolt prato fat 150g,67_33,67,33
"xicara cha c pires 200ml, beauty",31_639,31,639
refresco ki suco maracuja pct 25g,189_919,189,919
kit selecao br spices,214_432,214,432
bisc padua wafer 100g chocolate,5_24,5,24
copo plast cristalcopo tr 300ml c/50,32_104,32,104
t.maxton kit pratico 12.01 lo.ex.cl.,10_10,10,10
bala drops past dtc gira princesa disney 1und,57_169,57,169
saco lixo dover roll banheiro/pia lv+pg-,120_388,120,388
passas la violetera 100g branca s/s .,42_1199,42,1199
sachet perf limppano inspira lavanda c/1,114_1409,114,1409
germana massa pastel lanche 200g,4_149,4,149
peso p/panela clock simples r5029,272_1374,272,1374
bisc waff minueto limao 115g,5_24,5,24
pao ancestrais kg puravi,69_264,69,264
extensao nedo tripla 3 mts,109_935,109,935
forno micr midea 25l emb i liva msag32,315_1127,315,1127
chicle peccin blong t fruit 228g-dy,57_164,57,164
agua min indaia c/gas 330ml,2_452,2,452
essencia abacaxi junco alim 30ml,114_165,114,165
vinho monte zovo calinverno rosso 750ml,6_112,6,112
file atum coqueiro 125g-lt azte/alcaparra,158_1451,158,1451
cr trat pantene not repar 150ml,87_77,87,77
vinho nacional girola branco suave 750ml,6_54,6,54
carro dino bombeiro,123_426,123,426
profuse ensolei aox fps30 ache 50g,174_1188,174,1188
corante liquido 10ml conexao azul,32_460,32,460
sabao em barra 200g atlas coco,258_245,258,245
hidrat loc corpo madressenza inspire serenita 3,60_73,60,73
adoc po gold sh 1000un,261_1864,261,1864
travesseiro maxsoft percal 50x70 fb700,55_1464,55,1464
esm colorama nutriverniz nozes 8ml,151_239,151,239
molho pimenta cepera chipotle 270ml,161_1865,161,1865
toalha umed demaq bellacotton c/10,329_0,329,0
vinho rhebokskloof vine shira gfa 750ml,6_112,6,112
xarope hemmer guarana 1l,311_840,311,840
brocolis bioplus 150g,41_749,41,749
touca cab marco boni metalica c/1,39_1411,39,1411
feijao marfin 2kg,58_872,58,872
cigarro camel filters natural f un,156_249,156,249
empanado petisco auroggets aurora 300g vegetais,201_99,201,99
choc witors classic 250g,57_336,57,336
beb lactea tirol frutas/cereais pct 900g,135_304,135,304
"bacia plastica rischioto canelada 4,5lt",56_449,56,449
cappuccino pacaembu 70gr light sachet,20_1866,20,1866
mac delverde 500g integ penne,19_1291,19,1291
acucar cristal org native claro 5kg,33_433,33,433
pernil suino seara ceia facil s/osso kg,112_163,112,163
bola natal nsw dou 10cm c/2 sda72170r10,98_1617,98,1617
bala drops past starburst tropical 587g,57_169,57,169
yakissoba verde facil 300g,131_615,131,615
sh ox plants fortif/energiz 240ml,37_617,37,617
panetone triunfo gotas chocolate 400g,247_1434,247,1434
garrafa termica 1l lotus vermelha,40_44,40,44
arroz coopatrigo 5kg .,224_465,224,465
cr pentear tresemme original 300ml,149_0,149,0
"sorvete nestle 1,5l, brigadeiro",8_8,8,8
risoto uncle bens vegetais sachet 240g,224_514,224,514
oleo corporal paixao tentadora 100ml,60_752,60,752
jogo para churrasco inox 3 peças tramontina,173_607,173,607
depurador suggar 60cm slim 3v vm 220v,239_1329,239,1329
cadeira plast europlast bistro 1un pta,267_641,267,641
lava louca liq uselimp maca 500ml,45_1476,45,1476
tapete teka basic rosa 50x70,159_263,159,263
po p/mousse stevia zero maracuja 100g,26_38,26,38
bule term tramontina 1l exata 61645100,40_525,40,525
vodka moscowita 900ml pet,237_510,237,510
des aero dove antibac 89g.,7_1560,7,1560
forma bolo pudim santana p/microondas,213_481,213,481
batom liq maybelline longa dur-nu 100 very cranbe,176_906,176,906
arroz carnaroli costazzurra 1kg,224_264,224,264
mac c ovos petybon ninho 500g,19_192,19,192
batata palha m poteitos prem zero 80g,11_195,11,195
leite po parmalat int inst pouch 800g,51_463,51,463
creme de amendoim + mu choc 500g,0_0,0,0
prato fundo az 23cm,47_33,47,33
cereal kelloggs sucrilhos chocolate 120g,53_1867,53,1867
lombo baca gadus morhua jacob 6/8 ski kg,191_406,191,406
esc d clean ad perfect 35 md lv2 pg1,128_198,128,198
bisc loacker wafer dark noir pct 75g,5_24,5,24
frigid panelux funda 20 aa,13_154,13,154
bisc mosmann pro 25g c/whey protein cacau avela,5_529,5,529
estojo tilibra univ simpsons,54_658,54,658
capa almofada acasa n alg vm/jt 4545 693,138_212,138,212
jg cama corttex solt at 1.60x2.40 transp,55_196,55,196
vinho argentino santa ana malbec 750ml,6_134,6,134
doce leite pe da serra c ameixa 160g,172_291,172,291
sand ad ipanema stella lar/amarelo,21_22,21,22
des aero rexona bamboo 90g,106_150,106,150
pao mel bauducco lt 150g,57_269,57,269
batata palha mesa 150g,11_195,11,195
nectar maguary stevia maracuja 1l,15_12,15,12
coifa tramontina 60 i new vetro 127v,239_524,239,524
bala gelat arcor 70g-pc bamboles,57_393,57,393
espumante sta colina brut 750ml,35_37,35,37
bife lagarto palha kg,18_229,18,229
doce pacoca quero mais rolha 360g,102_317,102,317
marg doriana c/sal pt 250g (v),250_227,250,227
molho.salada castelo 236ml mostarda/mel,66_1868,66,1868
esc smart viagem 1un,128_198,128,198
ovo org galinha label rouge c/6un embd,30_1424,30,1424
pipoca micro pacha mant 100g,119_171,119,171
des spray herbissimo spa relax 90ml,235_1488,235,1488
esmalte risque orelha orelha 8ml,151_239,151,239
filtro ar fram ca11864,184_318,184,318
cha alma home morango c/nata cx/15,48_558,48,558
locao hidrat nivea banho soft milk 250ml,60_73,60,73
desod rexona masc invis c/2 desc especia,7_150,7,150
geleia coopernatural 180g blueberry,103_283,103,283
antis bucal colgate plax total fresh mint 60ml,265_1224,265,1224
linhaca dourada benassi kg,76_98,76,98
requeijao bianco latte crem bufala 190g,25_27,25,27
tapete corttex loop 40x60 edessa,159_263,159,263
"pudim oetker zero 40g, baunilha/fibra",26_38,26,38
batata fiuza baroa bj 500gr .,124_312,124,312
vinho portugues colinas tt 750ml,6_295,6,295
sh clear limpeza profunda 200ml,37_357,37,357
"torta bgm 1,1kg doce de leite",205_387,205,387
batom crem maybelline color sensac-nu 214 v max,176_1855,176,1855
oleo p/motor 15w-40 1l gt oil semi sintetico,218_457,218,457
embalagem cromus pres casual 25x37,3_813,3,813
lustra moveis destac 500ml c/20%desc,279_0,279,0
forminha romana pap n5 c/200 vd esc .,32_277,32,277
cr trat novex proteinas 1kg,87_0,87,0
limp fresh ajax 500ml-fr,43_0,43,0
cogumelo bandeja paris,116_693,116,693
ovo kiovos verm gde c/12 pvc,30_278,30,278
cafe meridiano extra forte vacuo 250g,20_798,20,798
vela nsa de lourdes 7 dias branca,88_102,88,102
pascoa ovo garoto jolie 135g,27_29,27,29
jarra krea tampa vidro 500ml j25a,47_81,47,81
carvao ecologico do brasil 4kg,173_536,173,536
adubo solo terral 2kg-pc,61_1442,61,1442
sup alim adul sustagen morango 400g,190_373,190,373
lava roupa girando sol glicerina fr 2l,22_40,22,40
racao whiskas 85g fgo molho,24_314,24,314
limpador 4l veja 30% desc lavanda e bem estar,43_0,43,0
cerv brahma chopp zero lt 350ml c/12,14_244,14,244
queijo vigor processado light 34g,67_637,67,637
bombom witors selecao lt 250g,57_344,57,344
geleia queensberry cassis classi vd 320g,103_256,103,256
limp perf renovar citronela 120ml,43_50,43,50
cr dent creme colgate total 12 prof daily repar 70g,207_559,207,559
perfume ant band blue seduct wom 50ml,232_661,232,661
sache flow foods 32g pim. curcuma,119_455,119,455
queijo quattocolli pecorino romano 200g,67_1531,67,1531
condim sn cebola flocos 44g,9_1869,9,1869
acucar mascavo vitapao s/gluten 500g,33_35,33,35
capa almofada imp acasa n 30x45 cz/vm 05,138_212,138,212
feijao ki temper 37g,58_872,58,872
"coffee capsules belmio largo, 5g",20_222,20,222
salgadinho fabitos 90gr cebola,11_657,11,657
cafe moido 250g cesta vitali,20_21,20,21
varal mahil versatil aluminio 60cm,125_339,125,339
porta escova dental marilu c/2,245_547,245,547
shampoo dove hidratacao micelar 400ml,37_73,37,73
queijo witmarsum brie cry-o-vac kg,67_220,67,220
"beb lactea liq paulista 170g, mor",135_304,135,304
melancia menos semente kg,163_1733,163,1733
coracao frango macedo temp resf (v) kg,93_1008,93,1008
queijo frimesa reggio kg parmesao fat,67_127,67,127
cesto rischioto c/tampa telado 30lt,127_188,127,188
pimenta cremosa 80ml mendez,9_375,9,375
toalha de mesa retangular 6 lugares,180_55,180,55
jg cama buddemeyer r giardini solt,55_196,55,196
choc bar nestle classic duo 150g,57_365,57,365
alpiste hikari 500g,248_560,248,560
perfume iscents lure edt 100ml,232_661,232,661
vinho vina maipo 750ml cabern. sauv.,6_100,6,100
papel hig fancy f.t 20m c/16,198_1504,198,1504
leite cond campos do jordao lt 395g,278_0,278,0
bisc sal per crack club social inte 156g,5_517,5,517
lava roupa liq ariel 12 lav conc 500ml,22_367,22,367
cafe octavio 500g torrado em graos,20_21,20,21
desinf dragao 2l campestre,157_253,157,253
colchonete nylon sanremo,267_1699,267,1699
copo trip 300ml oxford ag10 3q5p,31_104,31,104
pimenta reino cia ervas bca po 24g,9_1088,9,1088
guia pet total xadrez c/peitoral,85_448,85,448
cera rouxinol triex 750ml verde,204_1662,204,1662
t.beauty color kit cr. 4.66 ver.prof.,10_405,10,405
desinf pinho alpes oceanic 500ml,157_924,157,924
faca tramontina cozinha ath i 6 23083106,13_13,13,13
salmao grelhado sao luiz kg,191_341,191,341
frigid multiflon dp 18 solid lilas,13_154,13,154
ph fd neve neutro 30m lv8 pg7,198_543,198,543
bisc wafer vieira barra choc 150g,5_24,5,24
biscotinho carne c/abobora 150g,5_133,5,133
"sobremesa cre lactea danette 220g, choc bco",135_501,135,501
refrig sprite lt 350ml,16_18,16,18
requeijao barra carmolac kg,25_27,25,27
lava roupa po ecobril 700g,187_23,187,23
talco antis tenys pe hortela 100g,319_1239,319,1239
pao leite chama artesanal kg,69_264,69,264
trigo flavi kib 500g,26_662,26,662
goiabinha 40%acuc praeira 20g,84_1051,84,1051
esmalte vult 5free puro nude 03 8ml,151_239,151,239
carne seca jerked beef 500g tras broto legal,270_907,270,907
bisc wafer lago zuccherate 135g,5_24,5,24
guia retratil 14kg,85_448,85,448
azeite ol castelo ext virgem vd 500ml,146_232,146,232
salg.fontini kibe c/requeijao kg .,283_678,283,678
conj copo cerveja munich nadir 220ml,47_104,47,104
espremedor de alho,13_1870,13,1870
salgadinho yoki bugles bacon 90g,11_657,11,657
iog liq fazenda batido desnatado 500g,135_583,135,583
mandioca salsa kg,124_518,124,518
almofada chaveiro pompets cachorro,138_259,138,259
porta metade plasutil banana nanica,56_386,56,386
dnk fluido radiador conc fresh ama 500ml,218_828,218,828
hidrat loc corpo dove karite 400ml,60_73,60,73
ducha lorenzetti belo banho 127v 7530426,75_160,75,160
molh pim veranita 900 ml,161_0,161,0
pote vision 3l uz retangular verde,56_66,56,66
oleo gergelim torrado shangai 100ml,131_1157,131,1157
porta cupcake imp cs025bc,56_386,56,386
bisc polvilho da casa kg .,11_359,11,359
faqueiro simonaggio troia 12pcs preto,13_205,13,205
mortadela bolonha imperio peso,268_1797,268,1797
ferro b&d vapor rs 1200w 127v aj3032,104_146,104,146
"po p/refres tang 25g, graviola",189_903,189,903
ins sbp multi 630ml citronela,240_736,240,736
tapete banheiro ganda 67x44cm oval,64_786,64,786
vinho brasileiro santo expedito 750ml seco tinto,6_54,6,54
massa pizza romanha mini pct 300g,4_4,4,4
cabo elg apple lightning nylon cz l810by,150_485,150,485
cera p cab modeladora bozzano 230g,206_1136,206,1136
erlan bala dura mentinha 600g,57_123,57,123
cacarola arco iris esp c/as n.14 .,13_254,13,254
alcool safra 46 inpm neutro 500ml,251_583,251,583
elemento filtrante lubrif pel119,184_819,184,819
jg cama acasa e king micro list mesc bg,55_196,55,196
tofu org prem samurai 100g rosso picante,131_900,131,900
pao trigale quinoa e amaranto 350g light,69_649,69,649
chimichurri kitano 12g,9_450,9,450
vassoura parol nylon .,217_446,217,446
mistura p/cake uso 2kg red velvet,26_38,26,38
cerv skol beats senses lt 473ml,14_244,14,244
caix arqpla organ 5l,127_503,127,503
t.maxton kit pratico 6.0 lo.esc.conq,10_10,10,10
fralda ger tena confort g c/8,231_1205,231,1205
faqueiro tramontina 24p buzios 23799052,13_205,13,205
farinha mand favorita 1kg torrada .,26_28,26,28
kit lupo sport 901 m 3225,118_928,118,928
porta cupcake imp cs028bc,56_386,56,386
bolo de abobora c/coco kg,185_245,185,245
farinha milho branca angelica 500g,26_551,26,551
bebida lactea whey 250ml piracanjuba cacau,135_304,135,304
cigarro l&m kretek box un,156_249,156,249
requeijao porto alegre pote 420gr,25_27,25,27
cereais barra ritter 3x22g castanha para,110_12,110,12
colorau sabor 1kg,9_437,9,437
leite ferm activia ameixa bj 600g (v),197_953,197,953
esm risque eu era feliz sab bic s rodinhas 1un-sm,151_239,151,239
perfume vodka pink fem edt 100ml,232_661,232,661
t.nutrisse kit gts co.fructis 200ml 46 cast.verm.,10_384,10,384
feijao mulatinho chinezinho 500g,58_872,58,872
toalha rosto buddemeyer frape 1592,46_238,46,238
cobre leito buddemeyer d risca king,55_725,55,725
mist bolo bonutre 400g-pc laranja,26_38,26,38
grao bico bonduelle 265g,119_497,119,497
ed.inf.eletr.ben 10 c/refil,154_243,154,243
forma imp acasa silic muf/cup red cz ba5607,213_481,213,481
deo colonia piment 120ml sport,232_223,232,223
leite l.vida elege 1l integral,99_463,99,463
leao cha verde 1lt limao,89_635,89,635
sandalia havaianas tradicional pto 33/34,21_22,21,22
sand havaianas a graf 43/44 marinho,21_22,21,22
agriao gondim und cariri,41_307,41,307
arroz ruzene preto 1kg integral,224_463,224,463
sand havaianas promocional slim ring verde menta 35/36,21_22,21,22
anti mofo secar citrus 80g,114_351,114,351
flor pote red rf 704/5 sanremo,56_66,56,66
bisc mabel amanteigado 330g nata,5_929,5,929
pote plast hudson 670ml retg,56_66,56,66
chocotubs hersheys wafer 52g chocolate,57_204,57,204
lampada foxlux eletronica u 127x20w,88_116,88,116
atum ral coqueiro 160g-lt molho tomate,158_1871,158,1871
vip nozes 100g,42_967,42,967
"desodoriz sany bril ap+rf 35g, jasmim",90_1069,90,1069
cafe almof jaguari especial 500g,20_21,20,21
violeta p15,133_1872,133,1872
pimenta reino x preta graos 40g,9_1088,9,1088
porta leite po ababy silic rs gq1033,56_386,56,386
perfume juliana paes exotic edt 100ml,232_661,232,661
vinho port escultor 750ml tt sc,6_112,6,112
arroz sepe bianco tp1 5kg,224_465,224,465
pao hot dog baldini 400g-pc,69_873,69,873
pao sem glut wickbold 300g graos,69_20,69,20
colonia phytoderm acqua maschile 250ml,232_223,232,223
suco pto liv grape fruit 269ml,15_12,15,12
odoriz gel ultra fresh 60g citrus,212_120,212,120
esc belliz hot thermal anion 53 rf 1499,39_43,39,43
bala mastig santa fe yogurte 600g,57_185,57,185
bisc imp ale bahlsen waffelet 100g,5_288,5,288
pascoa ovo mini lacta laka 140g,27_29,27,29
massa vo vivi talharim pct 200g,19_1074,19,1074
acessorio(brinquedo) de borrach ra an -daiso,85_108,85,108
rodo black bull c/esponja plast,217_809,217,809
vinho espumante terranova demi sec gfa 750ml,35_37,35,37
bucha q-util 5mm c/5 1299,210_414,210,414
mist bolo mae terra cacau org cx 400g,26_38,26,38
saco p/lixo levalixo rolo,120_388,120,388
escumadeira inox catuai 33cm cabo pto,13_48,13,48
bisc waff triunfo choc beijinho 145g,5_24,5,24
"brilho labial payot princ atmo 6,5g",176_427,176,427
leite lider integral tp 1l,99_463,99,463
sem. feltrin alface monica sp 31,61_74,61,74
costela bov montana (tiras) kg,18_404,18,404
manteiga campo feliz 200g,144_227,144,227
sab pariggi suave 90g attraction,107_153,107,153
"empanado petisco mini chicken fgo perdigao 300g, trad",201_99,201,99
bisc torti nestle classic 152g,5_1213,5,1213
desod sanit sta clara cx acop c/sup lavanda 25g,90_1439,90,1439
vinho chileno ravanal chardonnay 750ml,6_100,6,100
suco pto nectar maguary maracuja 2l,15_12,15,12
balao fest lar liso misto c 50,32_34,32,34
panetone visconti lt 908g,247_558,247,558
doce leite aurea trad pote 390g,172_291,172,291
arroz integral guacira cateto 1kg,224_463,224,463
des cr suave 55g-pt fresh,235_1212,235,1212
assadeira mason cash b ret 18cm bc 1543,31_117,31,117
gergelim preto natural life 200g,76_499,76,499
flor nat bonsai jovem 6/10 anos,133_1873,133,1873
alcatra c/maminha bov distriboi (bife)kg,18_76,18,76
farinha de mandioca 500g quit cesta,26_28,26,28
"cobertura harald melken top gotas leite 2,1kg",28_1535,28,1535
hastes removedoras maquiagem belliz c/24,168_624,168,624
cond ouribel neutro 2l,49_0,49,0
coxa da asa korin drumette 600g-bj cong,93_78,93,78
gf term invicta 1li t wave 8121 .,40_44,40,44
vaso vasart copacabana camurca 40x30,61_216,61,216
cond seda anti sponge 350ml,49_0,49,0
cha dr oetker quentao misto cx 22.5g,48_1164,48,1164
sab bar senador fresh (estojo) 3x130g,107_40,107,40
castanha caju ideal c/s sc 180g torrada,74_96,74,96
costela bov gold meat s/osso rech (v) kg,18_404,18,404
mod achoc ovomaltine flocos croc pc 600g,227_467,227,467
bacia tacho inplast retang 11li .,56_449,56,449
cons-saco plast vc ny poly 17x25 1000un,120_1874,120,1874
temp maggi natusabor 40gg-pc tomate c/ervas,214_432,214,432
coxa peru kg .,63_78,63,78
frango a passarinho 1kg copacol resf temp,63_1725,63,1725
vaso vasart varanda camurca 21x14,61_216,61,216
sand ad havaianas slim organic 37/38 bege palh,21_22,21,22
refrig coca cola zero pet 500ml,16_554,16,554
lubrif 10w30 total quartz fu 7000 gf5 1l,218_457,218,457
vaso imp ceram 12.5x11x30.5cm ywv4341s,72_89,72,89
temp completo saboralho 5kg,214_432,214,432
vinho italiano tinto fino zonin 750ml d abruzzo,6_442,6,442
iogurte tirol grego trad pt 100g,135_579,135,579
pao hambuguer plus vita s/gergelim 200g,69_1386,69,1386
confeito dr oetker gotas choc pct 80g,34_36,34,36
"bala 46,7g nerds cherry",57_185,57,185
taca lyor b espum diamond 140ml 9705az,47_158,47,158
batom vult 71,176_906,176,906
bala kalfany menta fresca lt 150g,57_344,57,344
vinho los medanos carbenet sauvig org 375ml,6_112,6,112
mac tur ankara pipe rigati 500g,19_288,19,288
prato oxford j-orient 1un fdo 21cm,31_33,31,33
cachepo santa clara aluminio vm gd,72_347,72,347
sacola presente imp acasa c/tampa 901,3_883,3,883
cookies linea lite 40g maca/canela,5_808,5,808
canjica deusa branca 500g,155_246,155,246
cr dent creme sensodyne cool gel 50g,207_489,207,489
esm colorama g-antonelli sensualizando,151_239,151,239
mac ovos s-amalia 500g-pc fidelinho n-10,19_192,19,192
esc cab ricca stick me! 247,39_43,39,43
mochila escolar princesa isa grande 3 bolsos yangzi,54_660,54,660
pascoa ovo garoto classic choc bco 212g,27_29,27,29
